system,package,node,entrypoint,time_taken,crashed,error_message,functions,statements,api_calls,unknown_api_calls,unreachable_functions,unreachable_api_calls
autoware,autoware_connector,can_odometry,main,40.77416929998435,True,static recovery process failed,,,,,,
autoware,road_occupancy_processor,road_occupancy_processor,main,60.8256185001228,False,,1,1,1,0,0,0
autoware,object_map,laserscan2costmap,main,36.34058690001257,False,,1,10,3,1,0,0
autoware,object_map,points2costmap,main,34.031288399826735,False,,1,1,1,0,0,0
autoware,object_map,potential_field,main,36.618859299924225,False,,2,9,1,0,0,0
autoware,object_map,grid_map_filter,main,40.86728539993055,True,static recovery process failed,,,,,,
autoware,object_map,wayarea2grid,main,42.233416999923065,True,static recovery process failed,,,,,,
autoware,vision_klt_track,vision_klt_track,main,37.37968420004472,False,,2,7,4,2,0,0
autoware,vision_dummy_track,vision_dummy_track,main,32.67032809997909,False,,2,4,3,0,0,0
autoware,vision_beyond_track,vision_beyond_track,main,49.22622169996612,True,static recovery process failed,,,,,,
autoware,vision_dpm_ttic_detect,vision_dpm_ttic_detect,main,39.54247980006039,False,,2,13,4,1,0,0
autoware,vision_darknet_detect,vision_darknet_detect,main,52.52854289999232,True,static recovery process failed,,,,,,
autoware,vision_ssd_detect,vision_ssd_detect,main,38.40249409992248,False,,2,8,1,0,0,0
autoware,vision_segment_enet_detect,vision_segment_enet_detect,main,37.11533270007931,True,static recovery process failed,,,,,,
autoware,vision_lane_detect,vision_lane_detect,main,37.65299930004403,False,,1,4,3,1,0,0
autoware,pixel_cloud_fusion,pixel_cloud_fusion,main,57.259610099950805,False,,1,1,1,0,0,0
autoware,range_vision_fusion,range_vision_fusion,main,71.59471879992634,False,,1,1,1,0,0,0
autoware,viewers,image_viewer,main,34.202120000030845,False,,1,4,3,1,0,0
autoware,viewers,scan_image_viewer,main,36.823791299946606,False,,1,4,3,1,0,0
autoware,viewers,scan_image_d_viewer,main,35.36721419985406,False,,1,6,5,1,0,0
autoware,viewers,points_image_viewer,main,34.181086299940944,False,,1,5,3,2,0,0
autoware,viewers,image_d_viewer,main,35.75476029980928,False,,1,7,4,3,0,0
autoware,viewers,points_image_d_viewer,main,36.16775320004672,False,,1,9,5,4,0,0
autoware,viewers,vscan_image_viewer,main,36.651726299896836,False,,1,4,3,1,0,0
