Subject,observed,recovered,overapprox,underapprox
AutoRally,13.0,13.0,0.0,0.0
Husky,19.0,17.0,5.263157894736842,15.789473684210526
TurtleBot,12.0,13.0,16.666666666666664,8.333333333333332
All,44.0,43.0,6.8181818181818175,9.090909090909092
