System,API Calls,Percent of Unknown API Calls,Nodes,Percent of Unknown Nodes
AutoRally,75,13.333333333333334,9.09\% of 44,13.333333333333334
Autoware,869,14.729574223245109,14.12\% of 354,8.51553509781358
Fetch,103,1.9417475728155338,2.44\% of 123,6.796116504854369
Husky,225,2.666666666666667,11.31\% of 168,8.0
TurtleBot,158,17.72151898734177,13.66\% of 161,27.21518987341772
All,1321,13.171839515518545,11.31\% of 778,9.765329295987888
