Kind,observed,recovered,overapprox,underapprox
Action Clients,0.0,0.0,0.0,0.0
Action Servers,2.0,4.0,100.0,0.0
Providers,230.0,236.0,6.086956521739131,3.4782608695652173
Publishers,207.0,215.0,12.560386473429952,8.695652173913043
Subscribers,136.0,140.0,13.23529411764706,10.294117647058822
