system,package,node,entrypoint,time_taken,crashed,error_message,functions,statements,api_calls,unknown_api_calls,unreachable_functions,unreachable_api_calls
autoware,object_map,laserscan2costmap,main,43.95458907,FALSE,,1,10,3,0,0,0
autoware,object_map,points2costmap,main,44.80509988,FALSE,,1,1,1,0,0,0
autoware,object_map,potential_field,main,49.29567775,FALSE,,2,9,1,0,0,0
autoware,object_map,grid_map_filter,main,62.22796632,TRUE,static recovery process failed,,,,,,
autoware,object_map,wayarea2grid,main,62.92585841,TRUE,static recovery process failed,,,,,,
autoware,vision_klt_track,vision_klt_track,main,46.91017368,FALSE,,2,7,4,2,0,0
autoware,vision_dummy_track,vision_dummy_track,main,41.14322599,FALSE,,2,4,3,0,0,0
autoware,vision_beyond_track,vision_beyond_track,main,72.32798675,FALSE,,2,8,4,2,0,0
autoware,vision_dpm_ttic_detect,vision_dpm_ttic_detect,main,40.61046986,FALSE,,2,13,4,1,0,0
autoware,vision_darknet_detect,vision_darknet_detect,main,78.61286076,FALSE,,2,11,4,1,0,0
autoware,vision_ssd_detect,vision_ssd_detect,main,44.53533666,FALSE,,2,8,1,0,0,0
autoware,vision_segment_enet_detect,vision_segment_enet_detect,main,42.12786426,FALSE,,1,0,0,0,0,0
autoware,vision_lane_detect,vision_lane_detect,main,40.28643201,FALSE,,1,4,3,1,0,0
autoware,pixel_cloud_fusion,pixel_cloud_fusion,main,79.65706701,FALSE,,1,1,1,0,0,0
autoware,range_vision_fusion,range_vision_fusion,main,95.70412101,FALSE,,1,1,1,0,0,0
autoware,viewers,image_viewer,main,47.9243581,FALSE,,1,4,3,1,0,0
autoware,viewers,scan_image_viewer,main,44.67232149,FALSE,,1,4,3,1,0,0
autoware,viewers,scan_image_d_viewer,main,44.38432417,FALSE,,1,6,5,1,0,0
autoware,viewers,points_image_viewer,main,46.01099093,FALSE,,1,5,3,2,0,0
autoware,viewers,image_d_viewer,main,45.69574541,FALSE,,1,7,4,3,0,0
autoware,viewers,points_image_d_viewer,main,46.32787339,FALSE,,1,9,5,4,0,0
autoware,viewers,vscan_image_viewer,main,42.9932899,FALSE,,1,4,3,1,0,0
autoware,viewers,vscan_image_d_viewer,main,45.18146679,FALSE,,1,9,5,4,0,0
autoware,viewers,traffic_light_viewer,main,40.6622861,FALSE,,1,2,2,0,0,0
autoware,detected_objects_visualizer,visualize_detected_objects,main,62.51501693,FALSE,,2,13,3,2,0,0
autoware,detected_objects_visualizer,visualize_rects,main,77.3648074,FALSE,,2,8,4,3,0,0
