System,API Calls,Percent of Unknown API Calls,Unreachable Functions,Unreachable API Calls
AutoRally,75,13.333333333333334,4,10
Autoware,869,14.729574223245109,50,74
Fetch,103,1.9417475728155338,3,7
Husky,225,2.666666666666667,19,18
TurtleBot,158,17.72151898734177,22,43
All,1321,13.171839515518545,88,129
