System,API Calls,Percent of Unknown API Calls,Nodes,Percent of Unknown Nodes
AutoRally,75,13.333333333333334,25,16.0
Autoware,869,14.729574223245109,205,31.70731707317073
Fetch,103,1.9417475728155338,93,1.0752688172043012
Husky,225,2.666666666666667,105,2.857142857142857
TurtleBot,158,17.72151898734177,105,2.857142857142857
All,1321,13.171839515518545,504,15.079365079365079
