system,package,node,entrypoint,time_taken,crashed,error_message,functions,statements,api_calls,unknown_api_calls,unreachable_functions,unreachable_api_calls
husky,lms1xx,LMS1xx_node,main,18.727055199909955,False,,1,6,2,0,0,0
husky,joy,joy_node,main,22.47167670005001,False,,2,12,3,0,0,0
husky,husky_base,husky_node,main,46.236675300169736,False,,3,11,2,1,0,0
husky,ddynamic_reconfigure,fake_dynamic_reconfigure_server,main,19.793469600146636,False,,2,2,1,0,1,0
husky,ddynamic_reconfigure,test_bool_dynamic_reconfigure_server,main,19.68106000008993,False,,2,2,1,0,1,0
husky,ddynamic_reconfigure,ddynamic_reconfigure_auto_update_test,main,19.404860200127587,False,,2,2,1,0,1,0
husky,nmea_comms,nmea_serial_node,main,18.48902799980715,False,,1,4,1,0,0,0
husky,nmea_comms,nmea_socket_node,main,18.70758709986694,False,,1,5,3,0,0,0
husky,map_server,map_server,main,21.275262900162488,False,,3,10,4,0,0,0
husky,map_server,map_server-map_saver,main,19.345800900133327,False,,2,3,2,0,0,0
husky,map_server,rtest,main,22.668721500085667,True,static recovery process failed,,,,,,
husky,serial,serial_example,main,15.497712600044906,False,,1,0,0,0,0,0
husky,openslam_gmapping,autoptr_test,main,15.540195599896833,False,,1,0,0,0,0,0
husky,openslam_gmapping,log_test,main,16.53109690011479,False,,1,0,0,0,0,0
husky,openslam_gmapping,log_plot,main,16.090622799936682,False,,1,0,0,0,0,0
husky,openslam_gmapping,scanstudio2carmen,main,16.426968100015074,False,,1,0,0,0,0,0
husky,openslam_gmapping,rdk2carmen,main,16.634131099795923,False,,1,0,0,0,0,0
husky,openslam_gmapping,configfile_test,main,16.62097950000316,False,,1,0,0,0,0,0
husky,openslam_gmapping,scanmatch_test,main,17.231707700062543,False,,1,0,0,0,0,0
husky,openslam_gmapping,icptest,main,17.175634799990803,False,,1,0,0,0,0,0
husky,openslam_gmapping,gfs2log,main,16.876973800128326,False,,1,0,0,0,0,0
husky,openslam_gmapping,gfs2rec,main,17.173522799974307,False,,1,0,0,0,0,0
husky,openslam_gmapping,gfs2neff,main,17.769083000021055,False,,1,0,0,0,0,0
