system,package,node,entrypoint,time_taken,crashed,error_message,functions,statements,api_calls,unknown_api_calls,unreachable_functions,unreachable_api_calls
autorally,imu_3dm_gx4,imu_3dm_gx4,main,18.497163604944944,False,,4,136,19,0,3,9
autorally,joy,joy_node,main,22.50578860589303,False,,3,115,12,0,0,0
autorally,pointgrey_camera_driver,PointGreyCameraNodelet,pointgrey_camera_driver::PointGreyCameraNodelet::onInit,18.06443664105609,False,,3,80,10,1,2,7
autorally,pointgrey_camera_driver,PointGreyStereoCameraNodelet,pointgrey_camera_driver::PointGreyStereoCameraNodelet::onInit,16.23037603800185,False,,3,74,11,0,1,5
autorally,pointgrey_camera_driver,pointgrey_camera_node,main,9.472097938181832,False,,1,2,2,0,0,0
autorally,pointgrey_camera_driver,pointgrey_stereo_node,main,9.45892696804367,False,,1,2,2,0,0,0
autorally,pointgrey_camera_driver,pointgrey_list_cameras,main,10.532122903969139,False,,1,0,0,0,0,0
autorally,autorally_core,gpsHemisphereInterface,main,24.65063703688793,False,,7,118,12,0,3,4
autorally,autorally_core,ocs,main,61.777270912891254,False,,9,68,22,14,8,22
autorally,autorally_core,runStop,main,12.309139679884538,False,,3,34,8,2,0,0
autorally,autorally_core,xbeeCoordinator,main,29.084536019945517,False,,8,77,13,1,1,3
autorally,autorally_core,xbeeNode,main,30.10958023997955,False,,12,141,23,2,2,6
autorally,autorally_core,ImageRepublisher,autorally_core::ImageRepublisher::onInit,14.30573469796218,False,,1,14,0,0,0,0
autorally,autorally_core,StateEstimator,main,57.743630714016035,False,,6,271,28,0,1,4
autorally,autorally_core,AutoRallyChassis,autorally_core::AutoRallyChassis::onInit,16.936245687073097,False,,7,129,15,4,1,2
autorally,autorally_core,CameraTrigger,autorally_core::CameraTrigger::onInit,13.676186580909416,False,,1,4,0,0,0,0
autorally,autorally_core,CameraAutoBalancePtGrey,autorally_core::CameraAutoBalancePtGrey::onInit,14.901668881997466,False,,1,0,0,0,0,0
autorally,autorally_core,CameraAutoBalanceFLIR,autorally_core::CameraAutoBalanceFLIR::onInit,13.319052390987054,False,,1,0,0,0,0,0
autorally,autorally_core,WheelOdometry,main,16.05590743292123,False,,5,140,11,0,0,0
autorally,autorally_control,ConstantSpeedController,autorally_control::ConstantSpeedController::onInit,15.221464683068916,False,,5,70,10,0,0,0
autorally,autorally_control,joystickController,main,15.703031609999016,False,,4,67,14,0,0,0
autorally,autorally_control,gpsWaypoint,main,17.881743548903614,False,,6,219,23,2,0,0
autorally,autorally_control,path_integral_bf,main,62.60919677698985,False,,1,0,0,0,0,0
autorally,autorally_control,path_integral_nn,main,62.49279808416031,False,,1,0,0,0,0,0
autorally,autorally_control,path_integral_monitor,main,12.117456574225798,False,,3,18,4,0,0,0
autorally,effort_controllers,simple_bot_hw,main,14.293710637837648,False,,1,11,8,1,0,0
