System,API Calls,Percent of Unknown API Calls,Nodes,Percent of Unknown Nodes
AutoRally,75,13.333333333333334,9.09\% of 44,13.333333333333334
Autoware,882,14.512471655328799,12.99\% of 354,11.678004535147393
Fetch,103,1.9417475728155338,2.44\% of 123,6.796116504854369
Husky,223,2.690582959641256,11.31\% of 168,8.071748878923767
TurtleBot,130,14.615384615384617,6.80\% of 147,14.615384615384617
All,1306,12.633996937212864,9.42\% of 764,10.260336906584993
