System,API Calls,Percent of Unknown API Calls, Functions, Unreachable Functions, Percent of unreachable functions, API Calls, Unreachable API Calls, Percent of unreachable API Calls
AutoRally,75,13.333333333333334,44,4,9.090909090909092,75,10,13.333333333333334
Autoware,882,14.512471655328799,354,46,12.994350282485875,882,103,11.678004535147393
Fetch,103,1.9417475728155338,123,3,2.4390243902439024,103,7,6.796116504854369
Husky,223,2.690582959641256,168,19,11.30952380952381,223,18,8.071748878923767
TurtleBot,130,14.615384615384617,147,10,6.802721088435375,130,19,14.615384615384617
All,1306,12.633996937212864,764,72,9.424083769633508,1306,134,10.260336906584993
