Subject,observed,recovered,overapprox,underapprox
AutoRally,99.0,101.0,2.0202020202020203,0.0
Husky,64.0,81.0,35.9375,9.375
TurtleBot,76.0,72.0,2.631578947368421,7.894736842105263
All,239.0,254.0,11.297071129707113,5.02092050209205
