Kind,observed,recovered,overapprox,underapprox
Action Clients,0.0,0.0,0.0,0.0
Action Servers,1.0,2.0,100.0,0.0
Providers,107.0,110.0,6.5420560747663545,3.7383177570093453
Publishers,83.0,89.0,13.253012048192772,6.024096385542169
Subscribers,48.0,53.0,16.666666666666664,6.25
